State,District,Block,Village,Observation_Well,Latitude,Longitude,Date,Month,Season,Rainfall_mm,Temperature_C,Humidity_pct,Solar_Radiation,Wind_Speed,Previous_Groundwater_Level,Groundwater_Level,Rainfall_Lag1,Level_Change,Is_Monsoon
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2019-05-01,5,Summer,9.56,34.6,62.45,15.61,6.15,11.16,11.09,5.14,-0.07000000000000028,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2019-06-01,6,Monsoon,34.13,39.1,59.88,22.04,2.43,11.09,11.37,9.56,0.27999999999999936,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2019-07-01,7,Monsoon,32.63,31.84,61.29,15.1,2.64,11.37,11.72,34.13,0.3500000000000014,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2019-08-01,8,Monsoon,37.09,32.16,73.08,14.07,4.05,11.72,12.15,32.63,0.4299999999999997,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2019-09-01,9,Monsoon,27.55,27.72,70.44,17.23,4.09,12.15,12.37,37.09,0.21999999999999886,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2019-10-01,10,Post-Monsoon,50.91,32.83,63.01,23.62,2.76,12.37,12.98,27.55,0.6100000000000012,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2019-11-01,11,Post-Monsoon,49.03,28.71,66.23,19.03,1.76,12.98,13.61,50.91,0.629999999999999,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2019-12-01,12,Winter,67.25,23.2,59.81,15.45,3.95,13.61,14.38,49.03,0.7700000000000014,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2020-01-01,1,Winter,4.42,25.36,55.7,21.28,3.34,14.38,14.27,67.25,-0.11000000000000121,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2020-02-01,2,Winter,8.34,30.21,74.28,14.9,5.68,14.27,14.28,4.42,0.009999999999999787,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2020-03-01,3,Summer,3.87,27.24,85.48,14.17,4.06,14.28,14.24,8.34,-0.03999999999999915,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2020-04-01,4,Summer,8.45,34.22,75.48,20.91,3.43,14.24,14.13,3.87,-0.10999999999999943,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2020-05-01,5,Summer,3.38,35.39,60.72,20.6,5.59,14.13,14.02,8.45,-0.11000000000000121,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2020-06-01,6,Monsoon,32.47,34.69,71.67,14.93,5.99,14.02,14.28,3.38,0.2599999999999998,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2020-07-01,7,Monsoon,34.13,29.03,80.59,22.97,5.94,14.28,14.58,32.47,0.3000000000000007,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2020-08-01,8,Monsoon,34.27,27.5,54.59,15.62,5.99,14.58,14.92,34.13,0.33999999999999986,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2020-09-01,9,Monsoon,24.15,27.61,67.1,20.92,4.76,14.92,15.19,34.27,0.2699999999999996,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2020-10-01,10,Post-Monsoon,61.37,28.42,50.4,17.25,5.23,15.19,15.93,24.15,0.7400000000000002,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2020-11-01,11,Post-Monsoon,65.48,30.95,54.59,17.68,2.83,15.93,16.82,61.37,0.8900000000000006,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2020-12-01,12,Winter,69.19,23.97,66.75,22.92,4.66,16.82,17.64,65.48,0.8200000000000003,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2021-01-01,1,Winter,7.03,24.88,48.12,21.22,2.9,17.64,17.7,69.19,0.05999999999999872,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2021-02-01,2,Winter,8.45,28.06,64.59,23.4,6.27,17.7,17.59,7.03,-0.10999999999999943,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2021-03-01,3,Summer,5.7,27.09,63.51,23.67,6.32,17.59,17.45,8.45,-0.14000000000000057,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2021-04-01,4,Summer,4.94,35.7,73.88,22.51,3.08,17.45,17.44,5.7,-0.00999999999999801,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2021-05-01,5,Summer,7.57,39.55,72.56,14.97,4.58,17.44,17.31,4.94,-0.13000000000000256,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2021-06-01,6,Monsoon,26.24,36.63,86.16,22.77,5.2,17.31,17.51,7.57,0.20000000000000284,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2021-07-01,7,Monsoon,35.24,29.16,75.86,22.1,5.84,17.51,17.81,26.24,0.29999999999999716,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2021-08-01,8,Monsoon,32.18,30.01,57.75,21.98,4.75,17.81,18.1,35.24,0.2900000000000027,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2021-09-01,9,Monsoon,36.73,32.34,51.17,14.94,4.39,18.1,18.6,32.18,0.5,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2021-10-01,10,Post-Monsoon,53.97,30.26,46.99,16.87,4.45,18.6,19.35,36.73,0.75,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2021-11-01,11,Post-Monsoon,41.12,31.94,54.28,19.22,5.35,19.35,19.87,53.97,0.5199999999999996,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2021-12-01,12,Winter,58.69,22.43,60.98,14.52,4.16,19.87,20.6,41.12,0.7300000000000004,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2022-01-01,1,Winter,8.37,25.63,65.18,17.23,5.48,20.6,20.62,58.69,0.019999999999999574,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2022-02-01,2,Winter,6.39,27.47,70.3,14.25,6.31,20.62,20.5,8.37,-0.120000000000001,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2022-03-01,3,Summer,8.96,29.45,60.99,16.5,4.25,20.5,20.44,6.39,-0.05999999999999872,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2022-04-01,4,Summer,8.6,34.96,61.19,23.55,5.19,20.44,20.4,8.96,-0.0400000000000027,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2022-05-01,5,Summer,8.12,35.94,56.23,21.58,1.57,20.4,20.45,8.6,0.05000000000000071,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2022-06-01,6,Monsoon,24.74,33.29,49.64,22.55,5.02,20.45,20.68,8.12,0.23000000000000043,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2022-07-01,7,Monsoon,25.57,29.95,49.46,18.34,3.49,20.68,20.89,24.74,0.21000000000000085,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2022-08-01,8,Monsoon,34.16,27.27,63.74,17.75,4.63,20.89,21.25,25.57,0.35999999999999943,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2022-09-01,9,Monsoon,37.7,30.95,62.57,19.86,6.2,21.25,21.65,34.16,0.3999999999999986,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2022-10-01,10,Post-Monsoon,51.65,30.86,65.73,18.58,4.23,21.65,22.19,37.7,0.5400000000000027,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2022-11-01,11,Post-Monsoon,51.58,32.77,59.16,17.19,5.72,22.19,22.91,51.65,0.7199999999999989,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2022-12-01,12,Winter,64.43,23.41,67.49,15.18,4.98,22.91,23.7,51.58,0.7899999999999991,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2023-01-01,1,Winter,10.77,25.68,57.44,15.77,5.25,23.7,23.65,64.43,-0.05000000000000071,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2023-02-01,2,Winter,11.91,29.48,75.52,17.72,5.38,23.65,23.71,10.77,0.060000000000002274,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2023-03-01,3,Summer,11.31,32.15,83.63,21.55,2.02,23.71,23.65,11.91,-0.060000000000002274,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2023-04-01,4,Summer,7.05,38.79,59.73,17.2,5.98,23.65,23.63,11.31,-0.019999999999999574,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2023-05-01,5,Summer,2.11,39.34,61.75,23.5,6.25,23.63,23.49,7.05,-0.14000000000000057,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2023-06-01,6,Monsoon,34.11,36.14,57.64,16.93,3.14,23.49,23.82,2.11,0.33000000000000185,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2023-07-01,7,Monsoon,36.04,31.75,56.61,19.5,3.71,23.82,24.13,34.11,0.3099999999999987,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2023-08-01,8,Monsoon,29.61,27.7,64.89,15.43,5.31,24.13,24.4,36.04,0.2699999999999996,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2023-09-01,9,Monsoon,25.62,27.5,59.8,22.22,5.03,24.4,24.72,29.61,0.3200000000000003,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2023-10-01,10,Post-Monsoon,42.55,32.92,67.45,17.74,3.35,24.72,25.0,25.62,0.28000000000000114,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2023-11-01,11,Post-Monsoon,68.42,32.92,57.03,14.84,5.39,25.0,25.0,42.55,0.0,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2023-12-01,12,Winter,52.73,26.53,81.32,15.11,3.96,25.0,25.0,68.42,0.0,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2024-01-01,1,Winter,6.69,22.28,80.25,19.83,6.31,25.0,24.98,52.73,-0.019999999999999574,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2024-02-01,2,Winter,4.86,32.21,74.25,16.24,6.32,24.98,25.0,6.69,0.019999999999999574,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2024-03-01,3,Summer,11.7,27.26,65.84,23.93,1.87,25.0,25.0,4.86,0.0,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2024-04-01,4,Summer,11.69,36.66,76.8,20.29,4.98,25.0,25.0,11.7,0.0,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2024-05-01,5,Summer,8.28,37.09,63.67,20.2,2.89,25.0,25.0,11.69,0.0,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2024-06-01,6,Monsoon,31.42,35.47,76.72,19.84,1.89,25.0,25.0,8.28,0.0,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2024-07-01,7,Monsoon,39.78,31.19,42.05,22.14,4.92,25.0,25.0,31.42,0.0,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2024-08-01,8,Monsoon,38.57,31.94,69.35,23.5,5.13,25.0,25.0,39.78,0.0,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2024-09-01,9,Monsoon,30.69,32.6,64.12,22.11,6.44,25.0,25.0,38.57,0.0,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2024-10-01,10,Post-Monsoon,57.82,29.29,61.61,23.7,5.71,25.0,25.0,30.69,0.0,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2024-11-01,11,Post-Monsoon,54.06,29.49,63.7,22.65,5.56,25.0,25.0,57.82,0.0,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2024-12-01,12,Winter,69.9,24.78,64.33,21.69,6.22,25.0,25.0,54.06,0.0,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2025-01-01,1,Winter,4.47,24.25,48.58,20.72,4.59,25.0,24.95,69.9,-0.05000000000000071,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2025-02-01,2,Winter,3.14,31.03,71.43,19.2,5.36,24.95,24.84,4.47,-0.10999999999999943,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2025-03-01,3,Summer,10.52,30.31,77.32,18.03,2.17,24.84,24.94,3.14,0.10000000000000142,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2025-04-01,4,Summer,9.55,37.34,66.99,21.04,2.56,24.94,25.0,10.52,0.05999999999999872,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2025-05-01,5,Summer,2.15,35.45,44.23,18.37,6.02,25.0,24.91,9.55,-0.08999999999999986,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2025-06-01,6,Monsoon,32.22,38.49,82.33,17.97,4.61,24.91,25.0,2.15,0.08999999999999986,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2025-07-01,7,Monsoon,39.19,27.88,64.82,16.58,3.8,25.0,25.0,32.22,0.0,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2025-08-01,8,Monsoon,31.88,28.97,74.56,20.33,2.7,25.0,25.0,39.19,0.0,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2025-09-01,9,Monsoon,26.06,27.77,51.78,17.46,5.98,25.0,25.0,31.88,0.0,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2025-10-01,10,Post-Monsoon,60.03,28.03,70.85,15.92,1.7,25.0,25.0,26.06,0.0,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2025-11-01,11,Post-Monsoon,48.36,28.06,47.79,17.64,4.02,25.0,25.0,60.03,0.0,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-1,OW-1001,13.30806,80.3867,2025-12-01,12,Winter,41.18,26.0,62.7,20.28,1.91,25.0,25.0,48.36,0.0,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2018-01-01,1,Winter,4.77,26.03,56.16,16.09,3.35,8.12,8.04,27.32455439814815,-0.08000000000000007,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2018-02-01,2,Winter,8.18,29.21,71.95,18.63,5.24,8.04,8.11,4.77,0.07000000000000028,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2018-03-01,3,Summer,4.52,31.28,65.34,19.32,2.04,8.11,8.04,8.18,-0.07000000000000028,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2018-04-01,4,Summer,7.33,34.7,76.62,16.69,3.39,8.04,8.09,4.52,0.05000000000000071,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2018-05-01,5,Summer,5.22,34.48,55.72,22.91,4.47,8.09,7.99,7.33,-0.09999999999999964,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2018-06-01,6,Monsoon,36.63,36.49,60.79,14.87,4.19,7.99,8.37,5.22,0.379999999999999,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2018-07-01,7,Monsoon,35.93,29.59,60.34,17.63,4.73,8.37,8.74,36.63,0.370000000000001,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2018-08-01,8,Monsoon,29.7,32.92,56.98,20.06,2.69,8.74,9.12,35.93,0.379999999999999,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2018-09-01,9,Monsoon,26.45,28.48,60.42,16.85,2.37,9.12,9.29,29.7,0.16999999999999993,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2018-10-01,10,Post-Monsoon,42.41,30.15,60.04,18.1,6.41,9.29,9.85,26.45,0.5600000000000005,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2018-11-01,11,Post-Monsoon,51.94,32.82,67.85,16.58,2.35,9.85,10.45,42.41,0.5999999999999996,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2018-12-01,12,Winter,67.88,24.78,68.28,19.72,2.9,10.45,11.26,51.94,0.8100000000000005,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2019-01-01,1,Winter,3.87,23.62,68.36,16.42,2.07,11.26,11.15,67.88,-0.10999999999999943,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2019-02-01,2,Winter,4.89,30.49,32.11,15.54,3.91,11.15,11.06,3.87,-0.08999999999999986,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2019-03-01,3,Summer,2.52,29.02,57.78,20.82,5.3,11.06,10.93,4.89,-0.13000000000000078,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2019-04-01,4,Summer,6.72,35.88,74.12,17.49,6.15,10.93,10.82,2.52,-0.10999999999999943,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2019-05-01,5,Summer,11.65,33.87,67.04,15.81,1.83,10.82,10.79,6.72,-0.030000000000001137,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2019-06-01,6,Monsoon,33.19,38.89,66.07,15.4,5.48,10.79,11.2,11.65,0.41000000000000014,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2019-07-01,7,Monsoon,26.62,27.99,71.52,19.23,3.29,11.2,11.37,33.19,0.16999999999999993,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2019-08-01,8,Monsoon,30.28,31.9,77.42,18.39,3.38,11.37,11.69,26.62,0.3200000000000003,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2019-09-01,9,Monsoon,28.82,31.49,46.04,23.0,3.42,11.69,11.96,30.28,0.27000000000000135,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2019-10-01,10,Post-Monsoon,67.19,30.75,65.19,15.17,6.2,11.96,12.79,28.82,0.8299999999999983,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2019-11-01,11,Post-Monsoon,50.05,27.84,71.11,19.33,5.97,12.79,13.33,67.19,0.5400000000000009,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2019-12-01,12,Winter,44.55,23.56,79.97,16.48,5.22,13.33,13.95,50.05,0.6199999999999992,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2020-01-01,1,Winter,7.7,25.81,60.83,22.21,2.05,13.95,13.84,44.55,-0.10999999999999943,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2020-02-01,2,Winter,3.27,29.38,74.95,21.97,2.25,13.84,13.8,7.7,-0.03999999999999915,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2020-03-01,3,Summer,9.22,31.32,81.63,19.43,2.76,13.8,13.81,3.27,0.009999999999999787,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2020-04-01,4,Summer,3.82,39.36,77.1,19.83,3.5,13.81,13.73,9.22,-0.08000000000000007,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2020-05-01,5,Summer,11.47,34.07,67.17,20.11,1.59,13.73,13.68,3.82,-0.05000000000000071,0
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2020-06-01,6,Monsoon,38.91,36.96,95.0,20.97,6.11,13.68,14.07,11.47,0.39000000000000057,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2020-07-01,7,Monsoon,26.44,30.46,48.9,21.36,6.17,14.07,14.23,38.91,0.16000000000000014,1
Tamil Nadu,Chennai,Chennai Block 1,Chennai Village 1-2,OW-1002,13.29314,80.05124,2020-08-01,8,Monsoon,31.21,27.68,87.64,23.85,5.69,14.23,14.62,26.44,0.3899999999999988,1
